Var1,Freq,Count 
1,Argentina,7
2,Belgium,4
3,Brazil,1
4,Canada,11
5,Canada/Italy,1
6,China,170
7,China/France,1
8,China/United Kingdom,1
9,Denmark,3
10,France,89
11,"France, UK, Germany",1
12,France/Italy,15
13,France/Russia,1
14,France/UK/Germany,15
15,France/UK/Germany/Spain,25
16,France/UK/Germany/Taiwan,1
17,Germany,16
18,Germany/France,3
19,Germany/UK,10
20,Germany/UK/Italy,4
21,Germany/USA,2
22,India,40
23,Indonesia,2
24,International,6
25,Israel,12
26,Italy,36
27,Italy/International,1
28,Japan,47
29,Japan/USA/UK/Germany,1
30,Luxembourg,2
31,Morocco/Germany,1
32,Multinational,1
33,Netherlands,3
34,Norway/Canada,1
35,Peru,1
36,Poland,2
37,Russia,130
38,Russia/France,5
39,Russia/USA,2
40,Saudi Arabia,11
41,Singapore,9
42,South Africa,1
43,South Korea,8
44,South Korea/France/UK/Germany,2
45,Spain,4
46,Sweden/Canada/Finland/France,1
47,Switzerland,2
48,Turkey,3
49,UK,5
50,UK/Canada,1
51,UK/France/Germany/Spain,1
52,UK/Netherlands,1
53,Ukraine,2
54,United Kingdom,16
55,Uruguay,3
56,USA,645
57,USA/Canada,1
58,USA/Italy,8
59,USA/Japan/Brazil,1
